bank,hand_class,entry_mass,deals,average_deals_per_update,zero_sample_updates,modal_switches,final_current_vs_played_average_tv
first-new,147,0.0029806068083200817,114,1.4615384615384615,19,8,0.1656477506366831
first-new,148,0.002969502618732987,144,1.8461538461538463,11,7,0.2445220378414323
first-new,149,0.0029580582045670247,107,1.3717948717948718,15,1,0.0012963559495136824
first-new,150,0.0029361969996104134,100,1.2820512820512822,20,1,0.21455743445859865
first-new,151,0.0029226356056492116,125,1.6025641025641026,15,8,0.5993336932690077
first-new,152,0.0029162448758709276,115,1.4743589743589745,17,4,0.10242559862243597
first-new,153,0.0028860286010029094,103,1.3205128205128205,21,4,0.03122470934611822
first-new,154,0.004284005053936323,157,2.0128205128205128,8,2,0.0023880859633541632
first-new,155,0.0082561217647576,345,4.423076923076923,0,8,0.5956454100117907
first-new,156,0.0029209535351987642,97,1.2435897435897436,24,4,0.04068417487041997
first-new,157,0.002904478032205372,130,1.6666666666666667,13,4,0.0519363361254878
first-new,158,0.0029024088276845255,113,1.4487179487179487,15,7,0.18429868200076582
first-new,159,0.0028765640116156376,106,1.358974358974359,21,7,0.033850837202927836
first-new,160,0.00287664555405943,113,1.4487179487179487,17,12,0.30608429289729444
first-new,161,0.0028655407057624678,109,1.3974358974358974,22,5,0.04256407903889282
first-new,162,0.002854096463089066,131,1.6794871794871795,14,9,0.2306644182863989
first-new,163,0.0028322345637362746,95,1.2179487179487178,23,9,0.025802431106247744
first-new,164,0.0028186729016320797,132,1.6923076923076923,11,7,0.23610686498668274
first-new,165,0.0028122821203068987,124,1.5897435897435896,19,2,0.0022790867393621605
first-new,166,0.002782065810743854,133,1.705128205128205,15,3,0.06055500933971965
first-new,167,0.002752040727766573,121,1.5512820512820513,18,2,0.0024761986562803467
first-new,168,0.003972108648688113,146,1.8717948717948718,12,2,0.0166675208616701
replication-old,0,0.004790793724696479,167,2.141025641025641,8,4,0.03334554312582681
replication-old,1,0.009512847260521819,364,4.666666666666667,0,2,0.10114272706146923
replication-old,2,0.009506641694301852,370,4.743589743589744,1,0,0.004382355129740739
replication-old,3,0.009429105229310572,401,5.141025641025641,0,0,0.025724054163476666
replication-old,4,0.009429352148007004,375,4.8076923076923075,1,4,0.09518842556659796
replication-old,5,0.009396037340559372,406,5.205128205128205,0,3,0.13952786819027563
replication-old,6,0.009361703242193552,361,4.628205128205129,2,6,0.03581759094869771
replication-old,7,0.009296117200453959,367,4.705128205128205,1,0,0.0008862121527819324
replication-old,8,0.009255431872587724,389,4.987179487179487,0,0,0.0008210178829425517
replication-old,9,0.009236259296157876,349,4.4743589743589745,0,2,0.25020317231577993
replication-old,10,0.009145610283355409,362,4.641025641025641,1,9,0.2915719766917952
replication-old,11,0.009055534566697113,359,4.602564102564102,0,5,0.12922818090449634
