bank_difference,native_class,hand,entry_mass,contrast,count,mean_bb,paired_descriptive_se_bb
repeat-new minus repeat-old,14,33,0.00474131789843658,raise_minus_fold,334,2.479641022042481,0.997962226213155
repeat-new minus repeat-old,14,33,0.00474131789843658,raise_minus_call,334,2.042803670342391,0.995490907428053
repeat-new minus repeat-old,15,43o,0.009457166113881007,call_minus_fold,591,0.03620638905873941,0.24954590794417197
repeat-new minus repeat-old,15,43o,0.009457166113881007,raise_minus_fold,591,-8.29420365650176,0.770101307470148
repeat-new minus repeat-old,15,43o,0.009457166113881007,raise_minus_call,591,-8.330410045560498,0.8118882658244709
repeat-new minus repeat-old,16,53o,0.009379629648889725,call_minus_fold,619,0.2578157751872326,0.2675491356175605
repeat-new minus repeat-old,16,53o,0.009379629648889725,raise_minus_fold,619,-1.139226071357458,0.47330840587771844
repeat-new minus repeat-old,16,53o,0.009379629648889725,raise_minus_call,619,-1.3970418465446905,0.553144925513022
repeat-new minus repeat-old,17,63o,0.00937987656758616,call_minus_fold,601,0.9908151517344068,0.2990557093963499
repeat-new minus repeat-old,17,63o,0.00937987656758616,raise_minus_fold,601,-1.5248323038507234,0.4548091453740602
repeat-new minus repeat-old,17,63o,0.00937987656758616,raise_minus_call,601,-2.5156474555851305,0.5289397963197449
repeat-new minus repeat-old,18,73o,0.009346561760138525,call_minus_fold,640,-3.2951638594827934,0.5991479079380488
repeat-new minus repeat-old,18,73o,0.009346561760138525,raise_minus_fold,640,-5.477713236592072,0.5399038773784708
repeat-new minus repeat-old,18,73o,0.009346561760138525,raise_minus_call,640,-2.1825493771092788,0.6851052162496227
repeat-new minus repeat-old,19,83o,0.009312227661772707,call_minus_fold,588,2.318068393585348,0.38630812717075946
repeat-new minus repeat-old,19,83o,0.009312227661772707,raise_minus_fold,588,0.3482641979100956,0.6761690342006796
repeat-new minus repeat-old,19,83o,0.009312227661772707,raise_minus_call,588,-1.9698041956752523,0.7302900468758148
repeat-new minus repeat-old,20,93o,0.009246641620033112,call_minus_fold,608,-0.012457008193952903,0.15032546402058264
repeat-new minus repeat-old,20,93o,0.009246641620033112,raise_minus_fold,608,2.1561713804518,0.7323643405996069
repeat-new minus repeat-old,20,93o,0.009246641620033112,raise_minus_call,608,2.168628388645753,0.7570463597906595
repeat-new minus repeat-old,21,T3o,0.009205956292166879,call_minus_fold,589,-0.7386395209795498,0.2947249393738446
repeat-new minus repeat-old,21,T3o,0.009205956292166879,raise_minus_fold,589,0.5869189183115934,0.949842753524818
repeat-new minus repeat-old,21,T3o,0.009205956292166879,raise_minus_call,589,1.3255584392911433,0.8965443656921722
repeat-new minus repeat-old,22,J3o,0.00918678371573703,call_minus_fold,640,-0.10342390522034753,0.1855417990174216
repeat-new minus repeat-old,22,J3o,0.00918678371573703,raise_minus_fold,640,5.78776308725286,0.6476686260582339
repeat-new minus repeat-old,22,J3o,0.00918678371573703,raise_minus_call,640,5.891186992473207,0.6576613517222396
repeat-new minus repeat-old,23,Q3o,0.009096134702934562,call_minus_fold,606,1.9693131296361197,0.7171355564791108
repeat-new minus repeat-old,23,Q3o,0.009096134702934562,raise_minus_fold,606,-2.238954536270512,0.5039692710303405
repeat-new minus repeat-old,23,Q3o,0.009096134702934562,raise_minus_call,606,-4.208267665906632,0.8453121946457804
repeat-new minus repeat-old,24,K3o,0.009006058986276266,call_minus_fold,578,-0.0880082486607929,0.24492986362181488
repeat-new minus repeat-old,24,K3o,0.009006058986276266,raise_minus_fold,578,-8.388042363393343,0.7538098226404506
repeat-new minus repeat-old,24,K3o,0.009006058986276266,raise_minus_call,578,-8.300034114732549,0.7837307881866901
repeat-new minus repeat-old,25,A3o,0.00871117416475761,call_minus_fold,564,-0.09940879166150118,0.26472243048540145
repeat-new minus repeat-old,25,A3o,0.00871117416475761,raise_minus_fold,564,-0.09247525639941005,0.7148264597749556
repeat-new minus repeat-old,25,A3o,0.00871117416475761,raise_minus_call,564,0.0069335352620911355,0.7411659251261332
repeat-new minus repeat-old,26,42s,0.0031688804832390063,call_minus_fold,218,-0.21628999725470469,0.5036055232952574
repeat-new minus repeat-old,26,42s,0.0031688804832390063,raise_minus_fold,218,-1.7310124780219234,0.678270220644427
repeat-new minus repeat-old,26,42s,0.0031688804832390063,raise_minus_call,218,-1.5147224807672186,0.8719876973829388
repeat-new minus repeat-old,27,43s,0.0031523886235230235,call_minus_fold,234,-0.5362351398457833,0.5292401883475055
repeat-new minus repeat-old,27,43s,0.0031523886235230235,raise_minus_fold,234,1.678604057347511,1.328150220771713
repeat-new minus repeat-old,27,43s,0.0031523886235230235,raise_minus_call,234,2.2148391971932946,1.3033888999107712
repeat-new minus repeat-old,28,44,0.004735112089351418,call_minus_fold,323,0.32331536262615784,0.5205201381570491
repeat-new minus repeat-old,28,44,0.004735112089351418,raise_minus_fold,323,-1.5794303514119532,0.5649415337195492
repeat-new minus repeat-old,28,44,0.004735112089351418,raise_minus_call,323,-1.9027457140381112,0.719459563077083
repeat-new minus repeat-old,29,54o,0.00937342408266976,call_minus_fold,621,0.7120082781803296,0.3299055809010642
repeat-new minus repeat-old,29,54o,0.00937342408266976,raise_minus_fold,621,-1.2888259048425346,0.4668465675448222
repeat-new minus repeat-old,29,54o,0.00937342408266976,raise_minus_call,621,-2.000834183022864,0.5970711770208863
repeat-new minus repeat-old,30,64o,0.009373671001366192,call_minus_fold,579,0.3675097164877238,0.3044552189898574
repeat-new minus repeat-old,30,64o,0.009373671001366192,raise_minus_fold,579,3.8420389209037036,0.6289738826754402
repeat-new minus repeat-old,30,64o,0.009373671001366192,raise_minus_call,579,3.47452920441598,0.6450567356092802
repeat-new minus repeat-old,31,74o,0.00934035619391856,call_minus_fold,611,-0.17652230478761205,0.26083817664039033
repeat-new minus repeat-old,31,74o,0.00934035619391856,raise_minus_fold,611,-7.847266944339285,0.8296255819117239
repeat-new minus repeat-old,31,74o,0.00934035619391856,raise_minus_call,611,-7.670744639551673,0.821146925253153
repeat-new minus repeat-old,32,84o,0.009306022095552742,call_minus_fold,613,0.19004724866910316,0.2602535721711698
repeat-new minus repeat-old,32,84o,0.009306022095552742,raise_minus_fold,613,5.426472204460956,0.8841961375369738
repeat-new minus repeat-old,32,84o,0.009306022095552742,raise_minus_call,613,5.236424955791852,0.8479658006593386
repeat-new minus repeat-old,33,94o,0.009240436053813146,call_minus_fold,611,-0.29009919540036005,0.21879997186941316
repeat-new minus repeat-old,33,94o,0.009240436053813146,raise_minus_fold,611,2.8875364197863425,1.0026658849004073
repeat-new minus repeat-old,33,94o,0.009240436053813146,raise_minus_call,611,3.1776356151867025,0.9865809139145908
repeat-new minus repeat-old,34,T4o,0.009199750725946912,call_minus_fold,557,-0.22233270263952618,0.282251865409568
repeat-new minus repeat-old,34,T4o,0.009199750725946912,raise_minus_fold,557,4.69680826100342,1.3038340395824553
repeat-new minus repeat-old,34,T4o,0.009199750725946912,raise_minus_call,557,4.919140963642946,1.3130869968056893
repeat-new minus repeat-old,35,J4o,0.009180578149517064,call_minus_fold,625,0.018597132568745973,0.2194576957644269
repeat-new minus repeat-old,35,J4o,0.009180578149517064,raise_minus_fold,625,-0.6324014905419337,0.39707628676695506
repeat-new minus repeat-old,35,J4o,0.009180578149517064,raise_minus_call,625,-0.6509986231106798,0.4445204391937904
repeat-new minus repeat-old,36,Q4o,0.009089929136714596,call_minus_fold,578,0.044694890343562485,0.2689565649743597
repeat-new minus repeat-old,36,Q4o,0.009089929136714596,raise_minus_fold,578,-1.866172722738269,0.5409840188514355
repeat-new minus repeat-old,36,Q4o,0.009089929136714596,raise_minus_call,578,-1.9108676130818314,0.5721704032279444
repeat-new minus repeat-old,37,K4o,0.0089998534200563,call_minus_fold,598,0.17076180223889126,0.5073132131028077
repeat-new minus repeat-old,37,K4o,0.0089998534200563,raise_minus_fold,598,-1.1705152470287459,0.48205260675915634
repeat-new minus repeat-old,37,K4o,0.0089998534200563,raise_minus_call,598,-1.3412770492676371,0.6621039693517259
repeat-new minus repeat-old,38,A4o,0.008706783739295723,call_minus_fold,553,0.17909898073514488,0.35778264922106223
repeat-new minus repeat-old,38,A4o,0.008706783739295723,raise_minus_fold,553,0.6258200312914008,0.8719148158850074
repeat-new minus repeat-old,38,A4o,0.008706783739295723,raise_minus_call,553,0.446721050556256,0.8545779108059395
repeat-new minus repeat-old,39,52s,0.0031430349955735267,call_minus_fold,218,-2.9829860845946126,0.6539940373416802
repeat-new minus repeat-old,39,52s,0.0031430349955735267,raise_minus_fold,218,2.6610648706143563,1.4702225348499744
repeat-new minus repeat-old,39,52s,0.0031430349955735267,raise_minus_call,218,5.644050955208969,1.7246239092883946
